Name,YearsExperience,Salary
Maryam Heath,0.5,25431.00
Lowri Gates,0.8,31431.00
Farhaan Roman,1.1,39343.00
Fiona Acosta,1.3,46205.00
Mayson Reyna,1.5,37731.00
Devonte Santos,2.0,43525.00
Annika Howells,2.2,39891.00
Jaxson Nicholls,2.9,56642.00
Macauly Redman,3.0,60150.00
Carter Parks,3.2,54445.00
,3.3,59445.00
James Rollins,3.4,64445.00
Eoin Howell,,57189.00
Tyriq Carr,3.9,63218.00
Taylah Hook,4.0,55794.00
Braiden Sullivan,4.2,56794.00
Ann-Marie Greig,4.0,56957.00
Karolina Noel,4.1,57081.00
Rose O'Sullivan,4.5,61111.00
Juan Swan,4.9,67938.00
Jai Sutton,5.1,66029.00
Eleasha Maynard,5.3,83088.00
Corbin Massey,5.9,81363.00
Beyonce Schwartz,5.9,
Jez Rice,6.0,93940.00
Aled Brooks,6.8,91738.00
Ishan Hoffman,7.1,98273.00
Tate Porter,7.9,101302.00
Tracey Christian,8.2,113812.00
Mari Escobar,8.7,109431.00
Inez Cooley,8.9,119431.00
August Davidson,9.0,105582.00
Tilly Mcclain,9.5,116969.00
Fenton Kaufman,9.6,112635.00
Maureen Slater,10.3,122391.00
Norman Barnett,10.5,121872.00
Ottilie Wheeler,11.3,145652.00
